game,score,mean_score,record,epsilon
1,0,0.0,0,80
2,1,0.5,1,79
3,0,0.3333333333333333,1,78
4,0,0.25,1,77
5,0,0.2,1,76
6,0,0.16666666666666666,1,75
7,0,0.14285714285714285,1,74
8,0,0.125,1,73
9,0,0.1111111111111111,1,72
10,1,0.2,1,71
11,0,0.18181818181818182,1,70
12,0,0.16666666666666666,1,69
13,0,0.15384615384615385,1,68
14,1,0.21428571428571427,1,67
15,0,0.2,1,66
16,1,0.25,1,65
17,0,0.23529411764705882,1,64
18,0,0.2222222222222222,1,63
19,1,0.2631578947368421,1,62
20,0,0.25,1,61
21,0,0.23809523809523808,1,60
22,0,0.22727272727272727,1,59
23,0,0.21739130434782608,1,58
24,1,0.25,1,57
25,0,0.24,1,56
26,0,0.23076923076923078,1,55
27,0,0.2222222222222222,1,54
28,0,0.21428571428571427,1,53
29,0,0.20689655172413793,1,52
30,0,0.2,1,51
31,2,0.25806451612903225,2,50
32,0,0.25,2,49
33,0,0.24242424242424243,2,48
34,0,0.23529411764705882,2,47
35,1,0.2571428571428571,2,46
36,0,0.25,2,45
37,2,0.2972972972972973,2,44
38,1,0.3157894736842105,2,43
39,1,0.3333333333333333,2,42
40,0,0.325,2,41
41,1,0.34146341463414637,2,40
42,1,0.35714285714285715,2,39
43,0,0.3488372093023256,2,38
44,1,0.36363636363636365,2,37
45,1,0.37777777777777777,2,36
46,1,0.391304347826087,2,35
47,1,0.40425531914893614,2,34
48,0,0.3958333333333333,2,33
49,1,0.40816326530612246,2,32
